"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-01","0.00",,,"51","58","42"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-02","0.00",,,"53","59","47"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-03","0.40",,,"53","57","48"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-04","0.00",,,"57","68","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-05","0.21",,,"60","62","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-06","0.00",,,"54","58","46"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-07","0.00",,,"50","53","45"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-08","1.69",,,"54","61","51"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-09","0.42",,,"58","59","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-10","0.00",,,"52","57","44"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-11","0.00",,,"56","61","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-12","0.00",,,"53","59","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-13","0.00",,,"53","63","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-14","0.00",,,"51","60","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-15","0.00",,,"53","62","47"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-16","0.00",,,"58","64","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-17","0.00",,,"56","62","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-18","0.04",,,"55","63","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-19","0.00",,,"52","58","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-20","0.00",,,"47","56","37"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-21","0.00",,,"47","57","38"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-22","0.00",,,"54","59","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-23","0.00",,,"51","57","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-24","0.28",,,"50","61","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-25","0.04",,,"50","57","43"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-26","0.00",,,"49","56","40"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-27","0.00",,,"49","62","41"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-01-28","0.00",,,"55","67","43"
